Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
MRT,27,478,478,Mauritania,1,286,43,1891,286,26.5,11.6,3.2
MLT,27,470,470,Malta,1,284,230,351,284,50.4,127.5,6.3
MLI,27,466,466,Mali,1,712,610,831,712,21.0,6.6,2.4
MDV,27,462,462,Maldives,1,19,15,24,19,10.5,5.6,1.1
MYS,27,458,458,Malaysia,1,2360,1454,3831,2360,12.9,13.9,1.5
MWI,27,454,454,Malawi,1,929,804,1074,929,28.0,9.3,3.2
MDG,27,450,450,Madagascar,1,2160,1830,2550,2160,33.4,14.8,3.8
LUX,27,442,442,Luxembourg,1,443,307,640,443,74.7,136.3,9.7
LTU,27,440,440,Lithuania,1,3208,2912,3535,3208,135.0,260.5,16.8
LBY,27,434,434,Libya,1,370,296,462,370,16.2,10.4,1.7
LBR,27,430,430,Liberia,1,470,360,613,470,38.6,17.6,4.5
LSO,27,426,426,Lesotho,1,181,116,282,181,32.1,16.8,3.0
LBN,27,422,422,Lebanon,1,1083,964,1216,1083,27.9,32.1,3.2
LVA,27,428,428,Latvia,1,1662,1538,1796,1662,97.3,194.8,12.8
LAO,27,418,418,"Lao People's Democratic Republic",1,91,90,92,91,4.1,2.4,0.48
KGZ,27,417,417,Kyrgyzstan,1,134,59,306,134,7.4,4.0,0.95
KWT,27,414,414,Kuwait,1,274,221,340,274,16.6,10.2,1.9
KOR,27,410,410,"Korea, Republic of",1,16374,15687,17091,16374,29.3,63.8,3.7
PRK,27,408,408,"Korea, Democratic People Republic of",1,525,516,535,525,3.7,4.1,0.39
KEN,27,404,404,Kenya,1,3582,3342,3839,3582,39.7,12.8,4.2
KAZ,27,398,398,Kazakhstan,1,1359,1232,1499,1359,15.5,14.6,2.0
JOR,27,400,400,Jordan,1,468,394,556,468,15.1,9.0,1.8
JPN,27,392,392,Japan,1,104318,73256,148552,104318,50.1,170.2,6.3
JAM,27,388,388,Jamaica,1,1599,1294,1976,1599,85.7,108.0,10.4
ITA,27,380,380,Italy,1,38180,35858,40652,38180,49.5,130.0,6.6
ISR,27,376,376,Israel,1,2656,2382,2961,2656,44.6,59.7,6.3
IRL,27,372,372,Ireland,1,4216,3950,4500,4216,99.8,169.1,12.5
IRQ,27,368,368,Iraq,1,1187,1061,1328,1187,12.7,5.6,1.5
IRN,27,364,364,"Iran, Islamic Republic of",1,9793,9436,10163,9793,21.8,22.6,2.5
IDN,27,360,360,Indonesia,1,13130,9266,18605,13130,10.5,9.3,1.2
