Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,27,903,903,Africa,0,103050,101456,104670,103050,30.3,14.7,3.7
N.A.,27,904,904,Latin America and the Caribbean,0,225985,224263,227720,225985,58.0,69.1,7.1
N.A.,27,905,905,Northern America,0,255782,254655,256914,255782,73.5,138.4,9.5
N.A.,27,908,908,Europe,0,473011,470064,475976,473011,59.9,130.9,7.9
N.A.,27,909,909,Oceania,0,23602,23193,24019,23602,71.9,107.8,9.1
N.A.,27,935,935,Asia,0,386424,383834,389031,386424,12.6,16.3,1.4
,,,,Total,,1467854,,,1467854,29.4,37.0,3.7
